week_start_date,week_end_date,epi_year,epi_week,suspected_cases,confirmed_cases,deaths,
2021-05-31,2021-06-06,2021,22,52,6,1,
2021-06-07,2021-06-13,2021,23,60,4,1,
2021-06-14,2021-06-20,2021,24,70,6,2,
2021-06-21,2021-06-27,2021,25,65,13,1,
2021-06-28,2021-07-04,2021,26,67,3,0,
2021-07-05,2021-07-11,2021,27,69,7,4,
2021-07-12,2021-07-18,2021,28,70,5,0,
2021-07-19,2021-07-25,2021,29,66,4,1,
2021-07-26,2021-08-01,2021,30,113,12,0,
2021-08-02,2021-08-08,2021,31,65,4,1,
2021-08-09,2021-08-15,2021,32,46,4,2,
2021-08-16,2021-08-22,2021,33,58,2,0,
2021-08-23,2021-08-29,2021,34,83,9,0,
2021-08-30,2021-09-05,2021,35,74,0,0,
2021-09-06,2021-09-12,2021,36,60,4,3,
2021-09-13,2021-09-19,2021,37,73,1,0,
2021-09-20,2021-09-26,2021,38,71,9,1,
2021-09-27,2021-10-03,2021,39,51,3,0,
2021-10-04,2021-10-10,2021,40,63,4,1,
2021-10-11,2021-10-17,2021,41,67,7,0,
2021-10-18,2021-10-24,2021,42,81,8,0,
2021-10-25,2021-10-31,2021,43,77,2,0,
2021-11-01,2021-11-07,2021,44,72,7,0,
2021-11-08,2021-11-14,2021,45,113,8,0,
2021-11-15,2021-11-21,2021,46,108,9,1,
2021-11-22,2021-11-28,2021,47,91,3,0,
2021-11-29,2021-12-05,2021,48,84,4,0,
2021-12-06,2021-12-12,2021,49,123,10,3,
2021-12-13,2021-12-19,2021,50,190,10,3,
2021-12-20,2021-12-26,2021,51,193,29,3,
2021-12-27,2022-01-02,2021,52,174,28,3,
2022-01-03,2022-01-09,2022,1,222,48,2,
2022-01-10,2022-01-16,2022,2,244,48,6,
2022-01-17,2022-01-23,2022,3,294,74,11,
2022-01-24,2022-01-30,2022,4,229,42,6,
2022-01-31,2022-02-06,2022,5,323,58,6,
2022-02-07,2022-02-13,2022,6,278,77,11,
2022-02-14,2022-02-20,2022,7,356,91,21,
2022-02-21,2022-02-27,2022,8,441,90,12,
2022-02-28,2022-03-06,2022,9,388,57,13,
2022-03-07,2022-03-13,2022,10,257,33,1,
2022-03-14,2022-03-20,2022,11,233,29,6,
2022-03-21,2022-03-27,2022,12,224,22,4,
2022-03-28,2022-04-03,2022,13,204,10,4,
2022-04-04,2022-04-10,2022,14,217,24,6,
2022-04-11,2022-04-17,2022,15,164,18,1,
2022-04-18,2022-04-24,2022,16,145,18,1,
2022-04-25,2022-05-01,2022,17,183,8,3,
2022-05-02,2022-05-08,2022,18,72,3,2,
2022-05-09,2022-05-15,2022,19,100,8,1,
2022-05-16,2022-05-22,2022,20,99,2,1,
2022-05-23,2022-05-29,2022,21,94,3,2,
2022-05-30,2022-06-05,2022,22,119,7,0,
2022-06-06,2022-06-12,2022,23,70,7,0,
2022-06-13,2022-06-19,2022,24,88,8,3,
2022-06-20,2022-06-26,2022,25,115,10,1,
2022-06-27,2022-07-03,2022,26,130,9,1,
2022-07-04,2022-07-10,2022,27,139,13,0,
2022-07-11,2022-07-17,2022,28,107,5,2,
2022-07-18,2022-07-24,2022,29,134,10,2,
2022-07-25,2022-07-31,2022,30,100,10,0,
2022-08-01,2022-08-07,2022,31,136,13,1,
2022-08-08,2022-08-14,2022,32,178,9,3,
2022-08-15,2022-08-21,2022,33,88,5,0,
2022-08-22,2022-08-28,2022,34,79,5,0,
2022-08-29,2022-09-04,2022,35,76,10,1,
2022-09-05,2022-09-11,2022,36,113,8,1,
2022-09-12,2022-09-18,2022,37,70,6,0,
2022-09-19,2022-09-25,2022,38,37,6,1,
2022-09-26,2022-10-02,2022,39,85,4,1,
2022-10-03,2022-10-09,2022,40,29,4,0,
2022-10-10,2022-10-16,2022,41,97,4,0,
2022-10-17,2022-10-23,2022,42,95,7,0,
2022-10-24,2022-10-30,2022,43,108,10,1,
2022-10-31,2022-11-06,2022,44,110,17,0,
2022-11-07,2022-11-13,2022,45,96,10,0,
2022-11-14,2022-11-20,2022,46,103,4,1,
2022-11-21,2022-11-27,2022,47,98,4,0,
2022-11-28,2022-12-04,2022,48,171,22,3,
2022-12-05,2022-12-11,2022,49,146,13,1,
2022-12-12,2022-12-18,2022,50,74,10,0,
2022-12-19,2022-12-25,2022,51,147,17,1,
2022-12-26,2023-01-01,2022,52,79,12,0,
2023-01-02,2023-01-08,2023,1,104,30,1,
2023-01-09,2023-01-15,2023,2,231,77,6,
2023-01-16,2023-01-22,2023,3,560,137,18,
2023-01-23,2023-01-29,2023,4,445,117,16,
2023-01-30,2023-02-05,2023,5,455,106,15,
2023-02-06,2023-02-12,2023,6,415,68,15,
2023-02-13,2023-02-19,2023,7,384,46,9,
2023-02-20,2023-02-26,2023,8,351,59,10,
2023-02-27,2023-03-05,2023,9,295,40,5,
2023-03-06,2023-03-12,2023,10,292,70,19,
2023-03-13,2023-03-19,2023,11,268,38,14,
2023-03-20,2023-03-26,2023,12,283,39,2,
2023-03-27,2023-04-02,2023,13,231,23,4,
2023-04-03,2023-04-09,2023,14,221,23,3,
2023-04-10,2023-04-16,2023,15,149,9,1,
2023-04-17,2023-04-23,2023,16,206,20,2,
2023-04-24,2023-04-30,2023,17,176,21,2,
2023-05-01,2023-05-07,2023,18,134,10,2,
2023-05-08,2023-05-14,2023,19,178,7,0,
2023-05-15,2023-05-21,2023,20,197,8,2,
2023-05-22,2023-05-28,2023,21,138,7,1,
2023-05-29,2023-06-04,2023,22,92,7,1,
2023-06-05,2023-06-11,2023,23,81,1,0,
2023-06-12,2023-06-18,2023,24,97,1,1,
2023-06-19,2023-06-25,2023,25,149,10,3,
2023-06-26,2023-07-02,2023,26,90,10,0,
2023-07-03,2023-07-09,2023,27,108,6,0,
2023-07-10,2023-07-16,2023,28,119,10,1,
2023-07-17,2023-07-23,2023,29,114,9,0,
2023-07-24,2023-07-30,2023,30,117,12,6,
2023-07-31,2023-08-06,2023,31,64,7,0,
2023-08-07,2023-08-13,2023,32,94,5,1,
2023-08-14,2023-08-20,2023,33,82,9,2,
2023-08-21,2023-08-27,2023,34,125,11,1,
2023-08-28,2023-09-03,2023,35,109,6,0,
2023-09-04,2023-09-10,2023,36,85,5,0,
2023-09-11,2023-09-17,2023,37,79,4,0,
2023-09-18,2023-09-24,2023,38,107,4,1,
2023-09-25,2023-10-01,2023,39,96,9,1,
2023-10-02,2023-10-08,2023,40,67,5,3,
2023-10-09,2023-10-15,2023,41,103,9,3,
2023-10-16,2023-10-22,2023,42,118,9,0,
2023-10-23,2023-10-29,2023,43,124,3,0,
2023-10-30,2023-11-05,2023,44,117,8,0,
2023-11-06,2023-11-12,2023,45,95,12,4,
2023-11-13,2023-11-19,2023,46,125,17,2,
2023-11-20,2023-11-26,2023,47,122,11,3,
2023-11-27,2023-12-03,2023,48,119,16,4,
2023-12-04,2023-12-10,2023,49,165,21,5,
2023-12-11,2023-12-17,2023,50,93,10,4,
2023-12-18,2023-12-24,2023,51,178,26,6,
2023-12-25,2023-12-31,2023,52,177,43,11,
2024-01-01,2024-01-07,2024,1,190,53,6,
2024-01-08,2024-01-14,2024,2,296,81,16,
2024-01-15,2024-01-21,2024,3,406,77,21,
2024-01-22,2024-01-28,2024,4,347,47,5,
2024-01-29,2024-02-04,2024,5,429,70,15,
2024-02-05,2024-02-11,2024,6,453,83,9,
2024-02-12,2024-02-18,2024,7,507,66,13,
2024-02-19,2024-02-25,2024,8,585,96,23,
2024-02-26,2024-03-03,2024,9,694,109,20,
2024-03-04,2024-03-10,2024,10,490,50,10,
2024-03-11,2024-03-17,2024,11,325,35,4,
2024-03-18,2024-03-24,2024,12,303,25,6,
2024-03-25,2024-03-31,2024,13,266,15,1,
2024-04-01,2024-04-07,2024,14,180,11,0,
2024-04-08,2024-04-14,2024,15,188,15,1,
2024-04-15,2024-04-21,2024,16,135,14,1,
2024-04-22,2024-04-28,2024,17,135,14,1,
2024-04-29,2024-05-05,2024,18,143,12,1,
2024-05-06,2024-05-12,2024,19,120,14,3,
2024-05-13,2024-05-19,2024,20,119,4,2,
2024-05-20,2024-05-26,2024,21,119,10,0,
2024-05-27,2024-06-02,2024,22,128,10,0,
2024-06-03,2024-06-09,2024,23,112,4,0,
2024-06-10,2024-06-16,2024,24,124,7,0,
2024-06-17,2024-06-23,2024,25,74,2,0,
2024-06-24,2024-06-30,2024,26,117,8,0,
2024-07-01,2024-07-07,2024,27,102,5,1,
2024-07-08,2024-07-14,2024,28,126,7,0,
2024-07-15,2024-07-21,2024,29,160,11,0,
2024-07-22,2024-07-28,2024,30,111,7,0,
2024-07-29,2024-08-04,2024,31,85,3,1,
2024-08-05,2024-08-11,2024,32,164,10,0,
2024-08-12,2024-08-18,2024,33,126,8,2,
2024-08-19,2024-08-25,2024,34,80,3,0,
2024-08-26,2024-09-01,2024,35,79,11,1,
2024-09-02,2024-09-08,2024,36,87,7,0,
2024-09-09,2024-09-15,2024,37,115,5,1,
2024-09-16,2024-09-22,2024,38,70,4,1,
2024-09-23,2024-09-29,2024,39,90,9,1,
2024-09-30,2024-10-06,2024,40,73,7,2,
2024-10-07,2024-10-13,2024,41,85,10,0,
2024-10-14,2024-10-20,2024,42,112,12,0,
2024-10-21,2024-10-27,2024,43,99,8,1,
2024-10-28,2024-11-03,2024,44,70,4,0,
2024-11-04,2024-11-10,2024,45,109,10,0,
2024-11-11,2024-11-17,2024,46,123,8,0,
2024-11-18,2024-11-24,2024,47,133,12,4,
2024-11-25,2024-12-01,2024,48,140,26,5,
2024-12-02,2024-12-08,2024,49,157,39,6,
2024-12-09,2024-12-15,2024,50,193,33,1,
2024-12-16,2024-12-22,2024,51,187,50,11,
2024-12-23,2024-12-29,2024,52,226,70,11,
2024-12-30,2025-01-05,2025,1,196,54,10,
2025-01-06,2025-01-12,2025,2,290,89,12,
2025-01-13,2025-01-19,2025,3,359,71,17,
2025-01-20,2025-01-26,2025,4,328,76,12,
2025-01-27,2025-02-02,2025,5,379,68,17,
2025-02-03,2025-02-09,2025,6,363,54,10,
2025-02-10,2025-02-16,2025,7,267,38,9,
2025-02-17,2025-02-23,2025,8,314,54,6,
2025-02-24,2025-03-02,2025,9,236,29,5,
2025-03-03,2025-03-09,2025,10,232,28,3,
2025-03-10,2025-03-16,2025,11,262,40,10,
2025-03-17,2025-03-23,2025,12,262,41,6,
2025-03-24,2025-03-30,2025,13,315,14,3,
2025-03-31,2025-04-06,2025,14,246,15,5,
2025-04-07,2025-04-13,2025,15,231,12,1,
2025-04-14,2025-04-20,2025,16,258,10,3,
2025-04-21,2025-04-27,2025,17,160,11,3,
2025-04-28,2025-05-04,2025,18,209,10,3,
2025-05-05,2025-05-11,2025,19,82,3,2,
2025-05-12,2025-05-18,2025,20,155,13,1,
2025-05-19,2025-05-25,2025,21,124,6,0,
2025-05-26,2025-06-01,2025,22,155,8,0,
2025-06-02,2025-06-08,2025,23,146,11,1,
2025-06-09,2025-06-15,2025,24,138,8,2,
2025-06-16,2025-06-22,2025,25,197,10,0,
2025-06-23,2025-06-29,2025,26,148,9,3,
2025-06-30,2025-07-06,2025,27,149,11,3,
2025-07-07,2025-07-13,2025,28,265,11,1,
2025-07-14,2025-07-20,2025,29,120,11,3,
2025-07-21,2025-07-27,2025,30,91,3,0,
2025-07-28,2025-08-03,2025,31,96,9,1,
2025-08-04,2025-08-10,2025,32,86,12,3,
2025-08-11,2025-08-17,2025,33,94,5,0,
2025-08-18,2025-08-24,2025,34,126,3,1,
2025-08-25,2025-08-31,2025,35,125,10,2,
2025-09-01,2025-09-07,2025,36,147,13,2,
2025-09-08,2025-09-14,2025,37,146,11,2,
2025-09-15,2025-09-21,2025,38,118,11,2,
2025-09-22,2025-09-28,2025,39,115,4,0,
2025-09-29,2025-10-05,2025,40,117,13,4,
2025-10-06,2025-10-12,2025,41,100,11,2,
2025-10-13,2025-10-19,2025,42,116,9,1,
2025-10-20,2025-10-26,2025,43,97,11,1,
2025-10-27,2025-11-02,2025,44,94,12,1,
2025-11-03,2025-11-09,2025,45,84,10,1,
2025-11-10,2025-11-16,2025,46,123,19,6,
2025-11-17,2025-11-23,2025,47,119,17,0,1
2025-11-24,2025-11-30,2025,48,96,24,0,2
2025-12-01,2025-12-07,2025,49,143,33,0,8
2025-12-08,2025-12-14,2025,50,123,28,0,6
2025-12-15,2025-12-21,2025,51,105,21,2,5
2025-12-22,2025-12-28,2025,52,101,27,0,9
